Gen	No. de genes que regula	Genes regulados	Efecto
gadE	34	cyoA, cyoB, cyoC, cyoD, cyoE, fabZ, fliC, fliX, gadB, gadC, gadE, gadF, gadW, gadX, gltB, gltD, gltF, gnd, gndA, hdeA, hdeB, hdeD, lpxA, lpxD, lrp, mdtE, mdtF, purA, rcsA, skp, yhiD, yhiM, yjbQ, yjbR	Dual
gadW	8	dctR, gadE, gadF, gadW, gadY, mdtE, mdtF, slp	Dual
gadX	30	amtB, asnB, btuB, cadA, cadB, dctR, dtpA, gadA, gadB, gadC, gadE, gadF, gadX, gadY, glnK, glsA, hdeD, hns, lon, mdtE, mdtF, murI, rpoS, slp, speG, uspE, ybaT, ydeM, ydeN, ynfB	Dual
gadY	2	gadW, gadX	Dual
galR	6	galP, galR, galS, mglA, mglB, mglC	Dual
galS	6	galP, galR, galS, mglA, mglB, mglC	Dual
gatR	6	gatA, gatB, gatC, gatD, gatY, gatZ	Dual
gcvA	2	gcvA, gcvB	Dual
gcvB	60	acs, aroC, aroP, asd, asnA, asnB, csgD, csgE, csgF, csgG, cstA, cycA, dppA, dppB, dppC, dppD, dppF, gdhA, gltP, hisQ, icd, ilvB, ilvD, ilvL, ilvM, inaA, ivbL, kgtP, lrp, map, mltC, nlpA, oppA, oppB, oppC, oppD, oppF, oxyR, panD, phoP, phoQ, purU, rbn, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, sstT, tcyJ, trpA, trpB, trpC, trpD, trpE, trpL, ydeE, ysgA	Dual
glaR	120	alaE, apt, aroB, aroP, baeS, bdcA, bdcR, bssS, cadC, casA, chaA, chaB, chaC, csgI, cysN, cysS, dctR, dgcN, dinQ, elfC, fhuE, gabD, gabP, gabT, gadW, gadX, gcvA, gdhA, glaH, gltF, hinT, htrE, hxpA, idnD, idnK, inaA, kdgT, kdsA, ldcC, lhgD, lsrG, mglA, mrdA, murD, nlpA, orn, oxc, pdeG, pdhR, pdxA, phoH, pliG, ppiB, ppx, priC, prmC, rfbB, rhsD, rpiB, rpsF, rsgA, rssB, safA, sgcC, smg, tam, tar, tehA, ttdA, ttdR, yadN, ybaN, ycbU, ycbV, yccU, ycgJ, ycgV, ycgY, ychQ, yciU, ycjP, ydcK, ydeO, ydfI, ydfK, ydhS, yeaE, yehD, yehE, yehS, yfbN, yfbO, yfbU, yfcO, yfcV, yfdC, yfdV, yfiL, yfiR, yfjD, ygiV, ygiW, ygjI, yhcD, yidB, yigG, yihD, yihM, yjdP, yjfY, yjjP, yjjQ, ynaE, ynjH, yobD, yodB, ypdC, ypjA, yqhC, zraR	Dual
glcC	7	glcA, glcB, glcC, glcD, glcE, glcF, glcG	Dual
glmZ	2	glmS, glmU	Dual
glnG	45	amtB, argT, astA, astB, astC, astD, astE, cbl, ddpA, ddpB, ddpC, ddpD, ddpF, ddpX, glnK, hisJ, hisM, hisP, hisQ, nac, patA, potF, potG, potH, potI, relA, rpoE, rseA, rseB, rseC, rseD, rutA, rutB, rutC, rutD, rutE, rutF, rutG, yeaE, yeaG, yeaH, yhdW, yhdX, yhdY, yhdZ	Dual
glnZ	2	glnP, sucA	Dual
glpR	9	glpA, glpB, glpC, glpD, glpF, glpK, glpQ, glpT, glpX	Dual
glrR	6	glmY, rpoE, rseA, rseB, rseC, rseD	Dual
gntR	12	eda, edd, gntK, gntT, gntU, idnD, idnK, idnO, idnR, idnT, nfuA, yhgH	Dual
gutM	7	gutM, gutQ, srlA, srlB, srlD, srlE, srlR	Dual
hcaR	7	hcaB, hcaC, hcaD, hcaE, hcaF, hcaR, iroK	Dual
hdfR	6	flhC, flhD, gltB, gltD, gltF, maoP	Dual
hfq	6	cirA, hpf, manX, mutS, oppA, ptsN	Dual
hicB	2	hicA, hicB	Dual
higA	2	higA, higB	Dual
higA;higB	2	higA, higB	Dual
hipB	8	eutA, eutH, fadH, hipA, hipB, mazE, mazF, relA	Dual
hipB;hipA	5	hipA, hipB, mazE, mazF, relA	Dual
hns	239	acrE, acrF, adeD, adiA, adiC, adiY, alaU, alaV, appY, ascF, ascG, asr, bglB, bglF, bglG, bglJ, bluF, bolA, cadA, cadB, cadC, caiA, caiB, caiC, caiD, caiE, caiF, caiT, cas1, cas2, casA, casB, casC, casD, casE, cbpA, cdgI, chiA, cmoM, csgD, csgE, csgF, csgG, csiE, cspA, cspD, cycA, cydA, cydB, cysA, cysG, cysM, cysP, cysU, cysW, dctR, ddlA, degP, dgcJ, dgcT, dgcZ, dosC, dps, elfA, entF, evgA, evgL, evgS, fau, fepE, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimR2, flhC, flhD, fliA, fliC, fliX, fliZ, ftnA, fucA, gabD, gabP, gabT, gadA, gadB, gadC, gadE, gadF, gadW, gadX, galE, galK, galM, galT, garK, garL, garP, garR, glaH, gltT, gltU, gltW, glvC, gspA, gspB, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gspO, gutM, gutQ, hchA, hdeA, hdeB, hdeD, hdfR, hisJ, hisM, hisP, hisQ, hns, hprR, ileU, ileV, ilvH, ilvI, iraP, lacA, lacY, lacZ, leuO, lhgD, lrp, malE, malF, malG, malH, mazE, mazF, mdtE, mdtF, mdtI, mdtJ, mdtU, micF, mukB, mukE, mukF, nhaA, nhaR, nirB, nirC, nirD, nrdA, nrdB, nrdD, nrdG, osmC, oxc, pagP, pdeC, pdeF, pdeG, pdeI, pdeL, proV, proW, proX, rcsA, rcsB, rcsD, relA, rflP, rnpB, rrfB, rrfC, rrfD, rrfF, rrfG, rrfH, rrlB, rrlC, rrlD, rrlG, rrlH, rrsB, rrsC, rrsD, rrsG, rrsH, sfmA, slp, srlA, srlB, srlD, srlE, srlR, ssrS, stpA, tcyJ, thrV, ttdR, yadC, ybdZ, ybgD, yciE, yciF, yciG, ydcC, ydeO, ydeP, yehA, yehB, yehC, yehD, yfaE, yfcV, yhiD, yhiM, yjjP, yjjQ, yraH	Dual
hprR	14	cusA, cusB, cusC, cusF, cusR, cusS, cyoA, cyoB, cyoC, cyoD, cyoE, hiuH, msrP, msrQ	Dual
hupA;hupB	9	galE, galK, galM, galT, micF, mtr, pgm, seqA, tyrP	Dual
hyfR	12	focB, hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR	Dual
hypT	13	cydA, cydB, cysH, fecA, fecB, fecC, fecD, fecE, metB, metI, metL, metN, metQ	Dual
ibpA	2	ibpA, ibpB	Dual
iclR	4	aceA, aceB, aceK, iclR	Dual
idnR	7	gntK, gntU, idnD, idnK, idnO, idnR, idnT	Dual
ihfA;ihfB	207	aceA, aceB, aceK, acs, actP, adiA, amiA, atoA, atoB, atoD, atoE, csgD, csgE, csgF, csgG, csrB, cycA, cysH, cysI, cysJ, dcuD, dmsA, dmsB, dmsC, dppA, dppB, dppC, dppD, dppF, dps, dusB, envZ, fhlA, fimA, fimB, fimC, fimD, fimF, fimG, fimH, fimI, fimR2, fis, flhC, flhD, fliA, fliZ, fnr, focA, folA, gcd, glcA, glcB, glcD, glcE, glcF, glcG, glmY, glnH, glnP, glnQ, glpQ, glpT, gltA, gltB, gltD, gltF, hemA, hemF, hipA, hipB, hpt, htrE, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI, hypA, hypB, hypC, hypD, hypE, ibpB, icd, ihfA, ihfB, lyxK, micF, mtr, narG, narH, narI, narJ, narK, narS, ndh, nmpC, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, ompC, ompR, osmE, osmY, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaZ, pflB, phoU, plaR, prfA, prmC, proV, proW, proX, pspA, pspB, pspC, pspD, pspE, pspG, pspH, pstA, pstB, pstC, pstS, rpoE, rpoH, rseA, rseB, rseC, rseD, rtcA, rtcB, sdhX, sgbE, sgbH, sgbU, sodA, sodB, sra, sucA, sucB, sucC, sucD, sufA, sufB, sufC, sufD, sufE, sufS, tcyJ, tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG, tyrP, ubiA, ubiC, ulaA, ulaB, ulaC, ulaD, ulaE, ulaF, ulaG, uspA, uspB, yadV, yeiL, yiaK, yiaL, yiaM, yiaN, yiaO, yjbE, yjbF, yjbG, yjbH, yjcH	Dual
ilvY	2	ilvC, ilvY	Dual
iscR	33	erpA, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, iscA, iscR, iscS, iscU, napA, napB, napC, napD, napF, napG, napH, nfuA, nrdE, nrdF, nrdH, nrdI, rnlA, rnlB, selO, sufA, sufB, sufC, sufD, sufE, sufS, torT	Dual
istR	1	tisB	Represor
kdgR	2	eda, edd	Dual
kdpE	9	adeP, kdpA, kdpB, kdpC, kdpF, rmf, rsd, uxaA, uxaC	Dual
lacI	3	lacA, lacY, lacZ	Dual
leuO	23	bglB, bglF, bglG, bglJ, cadC, cas1, cas2, casA, casB, casC, casD, casE, dsrA, gltF, leuA, leuB, leuC, leuD, leuL, ybeQ, yghR, yghS, yjjQ	Dual
lexA	63	cho, ddlB, dinB, dinD, dinF, dinG, dinI, dinJ, dinQ, dnaG, ftsA, ftsI, ftsK, ftsL, ftsO, ftsQ, ftsW, ftsZ, hokE, insK, lexA, lpxC, mraY, murC, murD, murE, murF, murG, phr, polB, ptrA, recA, recB, recD, recN, recQ, recX, rpoD, rpsU, ruvA, ruvB, sbmC, ssb, sulA, symE, tisB, umuC, umuD, uvrA, uvrB, uvrC, uvrD, uvrY, yafN, yafO, yafP, yafQ, ybfE, ybiB, ydjM, yebG, yehF, yoaA	Dual
lldR	8	fadE, fadL, gadW, gadY, glcD, lpxP, yfdY, yhcO	Dual
lrhA	5	fimE, flhC, flhD, leuO, lrhA	Dual
lrp	310	aceB, aer, aidB, alaS, alaT, alaU, alaV, amiC, aphA, arcB, argA, argO, argS, argT, asnA, asnB, aspC, aspS, atpA, atpH, bipP, borD, brnQ, bssS, btuE, cadA, cadB, can, cbl, chbG, clpP, clpS, cpoB, creA, cycA, cydC, cysB, dadX, deaD, dedA, deoB, dgcJ, dgcQ, dgcZ, dhaK, dtpA, dtpB, eco, emrD, eno, eptB, exbB, fadL, fau, fimA, fimC, fimD, fimE, fimF, fimG, fimH, fimI, fimR2, frdA, frdB, ftsQ, fumA, gabD, gabP, gabT, gadB, gadY, gcvH, gcvP, gdhA, glaH, glgC, glnA, glnH, glnK, glnL, glnQ, gltB, gltD, gltF, gltP, gltT, gltU, gltV, gltW, gpt, groS, hdeA, hdeB, hlyE, hpf, hspQ, htrE, ibpA, ibpB, ileT, ileU, ileV, ilvA, ilvD, ilvE, ilvG, ilvM, ilvX, insC5, insH3, intZ, iraD, iraP, ldhA, leuE, leuL, lhgD, lipA, livF, livG, livH, livM, lolA, lolC, lpxL, lrhA, lrp, lysU, malT, manA, menA, metH, metK, metT, micF, mnmA, modA, mqo, msbA, mscK, mscS, mtr, mutY, nac, napF, nuoA, nusB, ompC, ompT, oppA, oppB, oppC, oppD, oppF, osmY, pabB, pal, pepD, pgl, phoA, phoH, pncB, pntA, polA, ppk, ppsA, prlF, proP, pspG, ptsN, purT, pyrI, qseB, radD, rdcA, relA, rhtB, ribE, rlmE, rpiA, rpiB, rplF, rpoN, rpsH, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rsd, rseA, sad, sdaA, sdaC, serB, serS, slyX, soxS, sroH, ssrS, sstT, sthA, stpA, sulA, tdh, thiC, thrL, thrV, topA, treA, trhO, trxB, ubiA, upp, uspE, wecB, yaaX, yabQ, yacL, yaeQ, yagU, yaiY, ybdF, ybdG, ybdL, ybeX, ybgA, ybiI, ybiJ, ybiO, ybiT, ybjN, ybjS, ybjX, ycaM, yceB, ycfJ, ychE, yciN, yciT, yciZ, ydcK, ydcL, ydeE, ydeN, ydgH, ydhQ, yeaE, yeaG, yebF, yehL, yeiL, yfaP, yfcC, yfcZ, yfiB, yhbY, yhcN, yhdN, yhdV, yhdW, yhhA, yhiD, yhiM, yhjE, yhjR, yiaG, yibL, yibT, yicH, yiiM, yjbJ, yjbQ, yjbR, yjeH, yjeM, yjfP, yjiC, ykgE, ynjH, yoaH, yodC, yoeG, yojI, yqeF, yqeG, ytfK, ytjB, yzgL, zipA, zitB, zntR	Dual
lsrR	9	lsrA, lsrB, lsrC, lsrD, lsrF, lsrG, lsrK, lsrR, tam	Dual
lysR	2	lysA, lysR	Dual
malH	1	ompC	Represor
malI	3	malI, malX, malY	Dual
malT	11	lamB, malE, malF, malG, malH, malK, malM, malP, malQ, malS, malZ	Dual
marA	60	acnA, acrA, acrB, acrZ, aldA, ariR, dapD, dctR, decR, fpr, fumC, glnD, hdeA, hdeB, inaA, lacA, lacY, lacZ, lpxC, lpxL, map, marA, marB, marR, mdaB, micF, mlaB, mlaC, mlaD, mlaE, mlaF, nfo, nfsA, nfsB, pbpG, poxB, pqiA, pqiB, pqiC, purA, putA, rimK, rob, slp, sodA, tolC, waaY, waaZ, xseA, ybjC, ybjN, ycgZ, ygiB, ygiC, yhbW, yhiD, ymgA, ymgC, yncE, zwf	Dual
marR	3	marA, marB, marR	Dual
matA	9	ecpA, flhC, flhD, fliA, fliC, fliX, fliZ, matA, tcyJ	Dual
mazE	3	mazE, mazF, mazG	Dual
mazF;mazE	3	mazE, mazF, mazG	Dual
mcaS	6	csgD, csgE, csgF, csgG, flhC, flhD	Dual
mcbR	6	mcbA, rmf, rsd, yciE, yciF, yciG	Dual
metJ	15	ahpC, ahpF, folE, metA, metB, metC, metE, metF, metI, metK, metL, metN, metQ, metR, yeiB	Dual
metR	4	hmp, metE, metH, metR	Dual
mgrR	4	eptB, pitA, soxS, ygdQ	Dual
mhpR	6	mhpA, mhpB, mhpC, mhpD, mhpE, mhpF	Dual
micA	18	cpoB, ecnB, fimB, gloA, lamB, ldtC, lpxT, ompA, ompW, ompX, pal, phoP, phoQ, tolB, tsx, yfeK, ygiM, yliM	Dual
micC	1	ompC	Represor
micF	7	cpxA, cpxR, lrp, ompF, oppA, phoE, tcyJ	Dual
micL	1	lpp	Represor
mlc	10	bidA, crr, malT, manX, manY, manZ, mlc, ptsG, ptsH, ptsI	Dual
mlrA	10	cadC, csgD, csgE, csgF, csgG, ibaG, obgE, rplU, rpmA, yhbE	Dual
mngR	3	mngA, mngB, mngR	Dual
mntR	5	dps, mntH, mntP, mntS, rybA	Dual
modE	46	ccmA, ccmB, ccmC, ccmD, ccmE, ccmF, ccmG, ccmH, deoA, deoB, deoC, deoD, dmsA, dmsB, dmsC, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI, moaA, moaB, moaC, moaD, moaE, modA, modB, modC, napA, napB, napC, napD, napF, napG, napH, narL, narX, oppA, oppB, oppC, oppD, oppF	Dual
motR	12	fliC, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpsC, rpsJ, rpsQ, rpsS	Dual
mprA	6	acrA, acrB, emrA, emrB, mprA, nmpC	Dual
mqsA	13	csgD, csgE, csgF, csgG, cspD, lfgA, lfgB, mqsA, mqsR, rpoS, yfjZ, ypjF, ypjJ	Dual
mraZ	18	ddlB, ftsA, ftsI, ftsL, ftsO, ftsQ, ftsW, ftsZ, lpxC, mioC, mraY, mraZ, murC, murD, murE, murF, murG, rsmH	Dual
murR	2	murP, murQ	Dual
nac	529	abgA, abgR, abpA, aceB, ackA, acrE, ahpC, alaC, allR, allW, amiB, amn, ampD, ansB, ansP, araE, araF, argO, argU, aroD, aroE, aroF, asnA, asnC, asnT, asnV, bfd, bfr, bglB, bglH, bglX, bidA, bisC, blc, bssS, caiF, cbrB, cbrC, ccmA, ccmB, ccmH, cdaR, cfa, cheA, cho, chpS, cmtA, cmtB, cobT, cobU, codA, codB, cpdB, csiE, cspC, curA, cycA, cynR, cynT, cysJ, cysQ, cysS, dadA, dapB, dcm, dcp, dcyD, ddlA, ddpC, deoR, dgcT, dhaK, dhaR, dinJ, dkgA, dld, dnaA, dpaA, dsbA, dsbG, eamA, ecnA, ecnB, elfA, elfG, emrK, eptA, eutS, evgA, exuT, fcl, fdhD, fdoG, feaB, fepE, fhuF, fklB, fliC, fliD, ftnB, fucA, fumD, gabD, gabP, gabT, gadE, gadX, gcvT, gdhA, glaR, glcA, glnD, glpK, gltA, gltB, gltD, gltP, glxK, gmd, gmk, gor, greB, groS, gspG, gspH, gspM, gspO, gudX, hcaE, hcaR, hchA, hemB, hemH, hemN, hfq, hofC, holE, hprR, htpG, htpX, htrE, hupA, hxpB, iaaA, ibpA, icd, ileY, ilvL, ilvN, infA, insK, intD, iraP, ispB, ispD, ivy, katG, kbaY, kbl, kdgR, kdsA, kduI, lapC, lepA, lepB, leuL, leuO, leuU, ligB, livH, livK, livM, lpxH, lrp, lysA, lysP, lysR, lysU, macA, malI, malY, map, marR, mcbA, mcrB, mdtF, mdtG, metE, metR, metY, mglA, mglB, mgtS, micC, mioC, mnmG, mntH, moaB, moaC, mobA, moeA, mreC, mscL, msrA, mtfA, nac, nadC, nadD, nanK, napB, napC, narK, narX, nfrB, nlpE, nrdG, nrfF, nrfG, nudC, nudG, nusA, nusB, ompA, ompN, ompR, ompT, oppA, oppC, ortT, osmB, osmY, pabC, patD, pdeC, pdeF, pdeL, pdxK, pfkB, pgaA, phoB, phoH, pinQ, pinR, pitB, pldA, pntA, pntB, polA, ppc, ppdC, pphB, ppiB, ppnN, prfC, prmB, pstC, pstS, ptrA, pyrB, pyrL, queD, queF, rcsA, rep, rfaH, rfbB, rfbC, rflP, rhtA, rimP, rlmF, rlmM, rluE, rnlB, rplU, rpmH, rpoZ, rsd, rsmF, rutB, sbcD, scpB, sdaA, sdhA, sdhB, sdhC, sdhD, sdiA, secG, selC, serA, shiA, shoB, sibA, sibE, spf, srlR, srsR, ssuE, stfR, tauA, tdcA, tdcR, tfaQ, tfaR, tff, thiL, thrS, tnaA, tnaB, tnaC, tolB, tomB, torA, torI, trxB, ubiA, ubiT, ubiU, ugd, uhpA, uspA, uspC, uspG, uvrY, uxaC, waaF, waaG, wcaE, wcaF, wecH, wrbA, wza, wzb, wzc, wzzE, xapR, xdhA, yadC, yadM, yaeF, yafC, yafN, yafO, yafQ, yafV, yagU, yaiS, yaiY, yaiZ, yajD, yajO, ybaL, ybbC, ybcK, ybcV, ybdR, ybeQ, ybeR, ybeT, ybeU, ybfC, ybgC, ybgE, ybhD, ybhH, ybhI, ybhM, ybjP, ybjX, ycaC, ycaD, ycaK, ycaN, yccM, ycgB, ycgJ, ycgV, ycgX, ychA, yciZ, ydaT, ydaU, ydcI, ydcS, ydcT, ydcU, ydcV, ydcY, ydcZ, ydeE, ydeP, ydeQ, ydfK, ydfR, ydgH, ydiB, ydiL, ydiM, ydiO, ydiP, ydiY, yebQ, yecD, yecE, yecF, yedL, yeeZ, yegH, yegL, yegR, yehE, yeiE, yeiH, yejB, yejG, yfaE, yfbK, yfbL, yfbV, yfcO, yfcP, yfdE, yfdV, yfeK, yfeS, yfgG, yfgH, yfhL, yfiL, yfiR, yfjI, ygaC, ygaM, ygaP, ygaV, ygaZ, ygcE, ygcO, ygcP, ygcS, ygdB, ygdR, ygeG, yggP, yghG, yghS, yghT, ygiF, ygiL, ygiM, ygiN, ygiZ, ygjH, ygjI, yhaB, yhaI, yhbX, yhcA, yhcC, yhcD, yhdV, yhfL, yhfZ, yhhQ, yhhZ, yhiJ, yhjD, yhjE, yiaD, yicJ, yidQ, yieE, yieH, yieP, yifB, yigI, yigL, yihD, yihL, yihO, yihQ, yiiE, yiiF, yijO, yjaH, yjbB, yjbQ, yjcB, yjcF, yjcO, yjeH, yjeJ, yjeM, yjfZ, yjgH, yjgM, yjgN, yjhI, ykgE, ykgH, ykgL, ymjA, ynaK, yneK, ynfA, ynfB, ynfD, ynfE, ynfF, ynfG, yniB, ynjF, ynjH, yobB, yobF, yoeB, yohO, yqeB, yqeH, yqeJ, yqeK, yraH, yrhB, ytfB, ytfJ, ytfK, ytfP, znuA	Dual
nadR	4	nadA, nadB, pncB, pnuC	Dual
nagC	33	chbA, chbB, chbC, chbF, chbG, chbR, chiP, chiQ, chiZ, creA, creB, creC, creD, crr, dinI, fimB, galP, manX, manY, manZ, nagA, nagB, nagC, nagE, nanC, nanM, nanS, ptsH, ptsI, umpH, ydeM, ydeN, ydeP	Dual
nanR	11	fimB, nanA, nanC, nanE, nanK, nanM, nanQ, nanS, nanT, nanX, nanY	Dual
narL	119	adhE, aspA, aspX, caiF, ccmA, ccmB, ccmC, ccmD, ccmE, ccmF, ccmG, ccmH, citC, citD, citE, citF, citG, citX, cydC, cydD, cysG, dcuA, dcuB, dcuR, dcuS, dmsA, dmsB, dmsC, dmsD, dpiA, dpiB, fdhF, fdnG, fdnH, fdnI, focA, frdA, frdB, frdC, frdD, fumB, hcp, hcr, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, hybA, hybB, hybC, hybD, hybE, hybF, hybG, hybO, moeA, moeB, napA, napB, napC, napD, napF, napG, napH, narG, narH, narI, narJ, narK, narS, nikA, nikB, nikC, nikD, nikE, nikR, nirB, nirC, nirD, norV, norW, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, ogt, ompW, pflB, poxB, torA, torC, torD, ubiA, ubiC, ydeP, ydhT, ydhU, ydhV, ydhW, ydhX, ydhY, yeaR, ynfE, ynfF, ynfG, ynfH, yoaG, ytfE	Dual
narP	36	cysG, fdhF, fdnG, fdnH, fdnI, hcp, hcr, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, nirB, nirC, nirD, norV, norW, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, poxB, ydeP, ydhT, ydhU, ydhV, ydhW, ydhX, ydhY, yeaR, yoaG, ytfE	Dual
nemR	3	gloA, nemA, nemR	Dual
nfeR	2	nfeF, nfeR	Dual
nhaR	37	alaU, alaV, gltT, gltU, gltV, gltW, ileU, ileV, nhaA, nhaR, osmC, pgaA, pgaB, pgaC, pgaD, rmf, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rsd, thrV	Dual
nikR	6	nikA, nikB, nikC, nikD, nikE, nikR	Dual
nimR	2	nimR, nimT	Dual
norR	3	norR, norV, norW	Dual
nrdR	9	nrdA, nrdB, nrdD, nrdE, nrdF, nrdG, nrdH, nrdI, yfaE	Dual
nsrR	86	aceE, aceF, bamE, bdcA, cdd, dkgB, dsdC, feaB, feaR, fhlA, fliA, fliZ, grxD, hcp, hcr, hmp, hycA, hycB, hycC, hycD, hycE, hycF, hycG, hycH, hycI, hypA, hypB, hypC, hypD, hypE, ihfA, infC, lrp, mepH, mhpT, moeA, moeB, ndh, norR, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, pgpC, pheM, pheS, pheT, poxB, rffC, rffG, rffH, rffM, rplT, rpmI, rybB, sodB, sufA, sufB, sufC, sufD, sufE, sufS, tadA, tcyJ, tehA, tehB, thrS, tsgA, waaH, wecA, wecB, wecC, wecE, wecF, wzxE, wzyE, wzzE, ydbD, yeaE, yeaR, ygbA, yoaG, ytfE	Dual
ohsC	1	shoB	Represor
ompR	56	acrR, alx, bolA, cadA, cadB, cadC, copA, csgD, csgE, csgF, csgG, csgI, dtpA, ecnB, exoX, fadE, fadL, feoA, feoB, feoC, flhC, flhD, galP, gmhA, htpX, lpp, malE, micF, narU, narV, narW, narY, narZ, nmpC, nuoN, ompC, ompX, omrA, omrB, pdhR, pgaA, pgaB, pgaC, pgaD, potE, queE, rhtA, rob, speF, speFL, sra, sstT, tolC, tsgA, yobB, znuA	Dual
omrA	12	cirA, csgD, csgE, csgF, csgG, dgcM, fepA, flgM, flhC, flhD, ompR, ompT	Dual
omrB	12	cirA, csgD, csgE, csgF, csgG, dgcM, fepA, flgM, flhC, flhD, ompR, ompT	Dual
oxyR	44	ahpC, ahpF, ccp, dps, dsbG, fhuF, flu, fur, gntP, gor, grxA, hcp, hcr, hemF, hemH, isrC, katG, metE, metR, mntH, nfsA, oxyR, oxyS, poxB, rimK, sufA, sufB, sufC, sufD, sufE, sufS, trxC, uof, uxuA, uxuB, xthA, ybjC, ybjN, ychF, yjjZ, zinT, znuA, znuB, znuC	Dual
oxyS	10	fhlA, flhC, flhD, iscA, iscR, iscS, iscU, mepS, nusG, rpoS	Dual
paaX	14	paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaX, paaY, paaZ	Dual
pdeL	9	fliF, fliG, fliH, fliI, fliJ, fliK, pdeL, wecA, yghJ	Dual
pdhR	54	aceE, aceF, acpP, cyoA, cyoB, cyoC, cyoD, cyoE, ddlB, fadE, fadH, fadL, fadM, fecA, fecB, fecC, fecD, fecE, ftsA, ftsI, ftsL, ftsO, ftsQ, ftsW, ftsZ, fumD, glcA, glcB, glcD, glcE, glcF, glcG, gmhA, grcA, hemL, hha, lldP, lpd, lpxC, mraY, mraZ, murC, murD, murE, murF, murG, ndh, pdhR, ppsA, ppsR, rsmH, tomB, ybcV, ybcW	Dual
pepA	3	carA, carB, pepA	Dual
pgrR	9	mpaA, mppA, tyrR, ycjF, ycjG, ycjX, ycjY, ymjC, ymjD	Dual
phoB	60	adiC, agp, amn, argP, asr, cra, cusA, cusB, cusC, cusF, cusR, cusS, eda, feaR, gadW, gadX, hiuH, mipA, msrP, msrQ, ompF, phnC, phnD, phnE1, phnF, phnG, phnH, phnI, phnJ, phnK, phnL, phnM, phnN, phnO, phnP, phoA, phoB, phoE, phoH, phoQ, phoR, phoU, pitB, prpR, psiE, psiF, pstA, pstB, pstC, pstS, rcdB, rspR, sbcC, sbcD, tktB, waaH, yegH, yibT, yoaI, ytfK	Dual
phoP	57	acrA, acrB, argD, borD, clpS, cysB, dcuD, fadL, gadE, gadF, gadW, glgA, glgB, glgC, glgP, glgX, hdeA, hdeB, hdeD, hemL, iraM, malS, metB, metL, mgrB, mgrR, mgtA, mgtL, mgtS, nagA, ompT, pagP, purD, purH, queE, rmf, rsd, rstA, rstB, rutA, rutB, rutC, rutD, rutE, rutF, rutG, ryjB, safA, tolC, treR, ybjG, ydeO, ydeP, ygiB, ygiC, yhiD, yrbL	Dual
plaR	14	eda, glpA, glpT, lyxK, plaR, sgbE, sgbH, sgbU, ygjV, yiaK, yiaL, yiaM, yiaN, yiaO	Dual
pnp	1	pnp	Represor
prpR	5	prpB, prpC, prpD, prpE, prpR	Dual
pspF	8	pspA, pspB, pspC, pspD, pspE, pspF, pspG, pspH	Dual
ptrR	13	acrA, acrB, acrR, gabD, gadA, gadB, glsB, puuA, puuB, puuC, puuE, sad, yneG	Dual
punR	1	punC	Activador
purR	32	carA, carB, codA, codB, cvpA, gcvH, gcvP, gcvT, glnB, glyA, guaA, guaB, hflD, prs, purA, purB, purC, purD, purE, purF, purH, purK, purL, purM, purN, purR, purT, pyrC, pyrD, speA, speB, ubiX	Dual
putA	2	putA, putP	Dual
puuR	8	puuA, puuB, puuC, puuD, puuE, puuP, puuR, ymjE	Dual
pyrR	1	yhjX	Activador
qseB	13	dnaA, fimA, fimC, fimD, fimF, fimG, fimH, fimI, fimR2, flhC, flhD, qseB, qseC	Dual
racR	6	rzpR, ydaS, ydaT, ydaU, ydaV, ydaW	Dual
ralA	1	ralR	Represor
