Gen	No. de genes que regula	Genes regulados	Efecto
Fis	242	acnB, acs, actP, adhE, alaT, alaU, alaV, alaW, alaX, aldB, ansB, apaG, apaH, argU, argW, argX, aspV, bglB, bglF, bglG, carA, carB, cbpA, cbpM, crp, cspA, cspI, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, deoA, deoB, deoC, deoD, dmsA, dmsB, dmsC, dnaA, dnaN, dps, dusB, fadA, fadB, fimA, fimC, fimD, fimF, fimG, fimH, fimI, fimR2, fis, flxA, fumB, gadA, gadB, gadC, gadX, glcC, glnA, glnG, glnL, glnQ, glnU, glnV, glnW, glnX, glnZ, glpA, glpB, glpC, glpQ, glpT, gltT, gltU, gltV, gltW, gltX, glyT, glyU, grcA, guaA, guaB, gyrA, gyrB, hisR, hlyE, hns, hupA, hupB, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, ileT, ileU, ileV, infB, katE, leuP, leuQ, leuT, leuV, leuW, leuX, lpd, lysT, lysV, lysW, malE, malF, malG, malH, marA, marB, marR, mazE, mazF, mazG, metT, metU, metY, mglA, mglC, msrA, mtlA, mtlD, mtlR, nanA, nanE, nanK, nanQ, nanT, narG, narH, narI, narJ, narK, narS, nirB, nirC, nirD, nrdA, nrdB, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, nusA, ogt, osmE, osmY, pdxA, pflB, pheU, pheV, pnp, proK, proL, proM, proP, pyrD, queA, rbfA, recF, rimP, rplM, rpsI, rpsO, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rsmA, serT, serX, sra, thrT, thrU, thrV, thrW, tolB, tpr, trg, trmA, truB, tufB, tyrT, tyrU, tyrV, valT, valU, valX, valY, xylF, xylG, xylH, xylR, yeaR, yfaE, yjcH, yoaG, yodD	Dual
FlhDC	93	aceB, adhE, ccmA, ccmB, ccmC, ccmD, ccmE, ccmF, ccmG, ccmH, clsC, csgC, epd, flgA, flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ, flgM, flgN, flhA, flhB, flhE, fliA, fliD, fliE, fliF, fliG, fliH, fliI, fliJ, fliK, fliL, fliM, fliN, fliO, fliP, fliQ, fliR, fliS, fliT, fliZ, fruB, glpA, glpB, glpC, gltI, gltJ, gltK, gltL, hydN, hypF, iclR, mdh, mglA, mglB, mglC, napA, napB, napC, napD, napF, napG, napH, nfrB, nrfA, nrfB, nrfC, nrfD, nrfE, nrfF, nrfG, pdeH, pfkA, ppdA, ppdB, ppdC, ptsH, recC, setB, sroC, tcyJ, ycgR, yecR, ygbK, ygdB, ymdA, ymdB	Dual
FliX	12	fliC, rplB, rplC, rplD, rplP, rplV, rplW, rpmC, rpsC, rpsJ, rpsQ, rpsS	Represor
FliZ	22	csgA, csgB, csgC, csgD, csgE, csgF, csgG, flhC, flhD, gadB, gadC, gadE, gadF, hdeA, hdeB, mdtE, mdtF, mlrA, osmY, pdeR, yhiD, yjbJ	Represor
FnrS	20	azuC, azuR, cydC, cydD, folE, folX, glpD, gpmA, iscR, maeA, marA, metE, sodA, sodB, yebY, yebZ, yeiB, yfcH, yieP, yobA	Represor
FrlR	5	frlA, frlB, frlC, frlD, frlR	Represor
FrmR	3	frmA, frmB, frmR	Represor
FucR	7	fucA, fucI, fucK, fucO, fucP, fucR, fucU	Activador
Fur	269	acnA, actP, adhP, adk, ansB, araB, araF, argF, argG, argR, aspC, b0725, bfd, bfr, bglJ, bssR, cadC, cirA, cusC, cyoA, cyoB, cyoC, cyoD, cyoE, dapB, dinB, dkgA, dmsA, dmsB, dmsC, dppB, dppC, dppD, dppF, eamA, efeB, efeO, efeU, entA, entB, entC, entD, entE, entF, entH, erpA, esrE, exbB, exbD, fecA, fecB, fecC, fecD, fecE, fecI, fecR, feoA, feoB, feoC, fepA, fepB, fepC, fepD, fepE, fepG, fes, fhuA, fhuB, fhuC, fhuD, fhuE, fhuF, fiu, flgL, flhC, flhD, fnr, ftnA, ftnB, fumB, fumC, fur, garK, garL, garP, garR, glnD, glnG, glnL, glpF, glpK, gltB, gltD, gltF, gnd, gndA, gpmA, gpr, grcA, grxB, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gspO, hcaR, hmp, hscA, hybO, katE, katG, leuD, lysP, maeB, manX, manY, manZ, map, mdh, mdtL, metH, metJ, mglB, mntH, mntP, mntS, moaA, mocA, mqo, nac, narQ, narU, ndh, nfeF, nfeR, nohA, nrdE, nrdF, nrdH, nrdI, nth, ompF, ompW, oppA, oppB, oppC, oppD, ortT, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, pdeF, pepE, phoH, pqqU, pstB, punC, purL, purR, pyrC, qorA, rcnA, rcnB, recN, rimK, rimO, rmf, rmuC, rnpB, rpoS, rsd, rsxA, rsxB, rsxC, rsxD, rsxE, rsxG, ryhB, sdhX, sdiA, selO, serS, sodA, soxR, soxS, sseB, stfQ, sucA, sucB, sucC, sucD, sufA, sufB, sufC, sufD, sufE, sufS, sulA, tauA, tauB, tauC, tcyN, tfaQ, tisB, tqsA, tsx, udp, ugpA, ugpB, ugpE, uxaB, uxaC, uxuA, uxuB, waaL, xynR, ybaN, ybdZ, ybiU, ybiX, ycgR, yciI, ydcF, yddA, yddB, ydeN, ydiE, yejG, yfcV, ygaC, yghF, yghW, yhcC, yhhY, yhjE, yihN, yihX, yjbJ, yjcH, yjiR, yjiT, yjjZ, yncE, ynfD, yobD, yoeA, yojI, yqeB, yqeC, yqhD, yrbL, zapB, zinT, zwf	Dual
GadE	34	cyoA, cyoB, cyoC, cyoD, cyoE, fabZ, fliC, fliX, gadB, gadC, gadE, gadF, gadW, gadX, gltB, gltD, gltF, gnd, gndA, hdeA, hdeB, hdeD, lpxA, lpxD, lrp, mdtE, mdtF, purA, rcsA, skp, yhiD, yhiM, yjbQ, yjbR	Activador
GadRcs	9	adiC, aslB, cadA, cadB, dctR, gadA, gadX, slp, yhiM	Activador
GadW	8	dctR, gadE, gadF, gadW, gadY, mdtE, mdtF, slp	Dual
GadX	30	amtB, asnB, btuB, cadA, cadB, dctR, dtpA, gadA, gadB, gadC, gadE, gadF, gadX, gadY, glnK, glsA, hdeD, hns, lon, mdtE, mdtF, murI, rpoS, slp, speG, uspE, ybaT, ydeM, ydeN, ynfB	Dual
GadY	2	gadW, gadX	Activador
GalR	6	galP, galR, galS, mglA, mglB, mglC	Represor
GalS	6	galP, galR, galS, mglA, mglB, mglC	Represor
GatR	6	gatA, gatB, gatC, gatD, gatY, gatZ	Represor
GcvA	2	gcvA, gcvB	Dual
GcvB	60	acs, aroC, aroP, asd, asnA, asnB, csgD, csgE, csgF, csgG, cstA, cycA, dppA, dppB, dppC, dppD, dppF, gdhA, gltP, hisQ, icd, ilvB, ilvD, ilvL, ilvM, inaA, ivbL, kgtP, lrp, map, mltC, nlpA, oppA, oppB, oppC, oppD, oppF, oxyR, panD, phoP, phoQ, purU, rbn, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, sstT, tcyJ, trpA, trpB, trpC, trpD, trpE, trpL, ydeE, ysgA	Dual
