Gen	No. de genes que regula	Genes regulados	Efecto
CRP	538	aaeA, aaeB, aaeR, aaeX, abgR, aceA, aceB, aceE, aceF, aceK, acnA, acnB, acs, actP, aegA, aer, agaA, agaV, agaW, agp, aldA, aldB, ampD, ampE, ansB, aphA, araA, araB, araC, araD, araE, araF, araG, araH, arfB, argG, aroA, ascB, ascF, aspA, aspX, azuC, azuR, b0725, bglB, bglF, bglG, bhsA, bidA, btsT, caiA, caiB, caiC, caiD, caiE, caiF, caiT, cas1, cas2, cas3, casA, casB, casC, casD, casE, chbA, chbB, chbC, chbF, chbG, chbR, chiP, chiQ, chiZ, cirA, citC, citD, citE, citF, citG, citX, comR, cpdB, csgD, csgE, csgF, csgG, csiE, cspD, cspE, csrC, cstA, cyaA, cyaR, cycA, cyoA, cyoB, cyoC, cyoD, cyoE, cysG, dctA, dcuA, dcuB, dcuR, dgoA, dgoD, dgoK, dgoR, dgoT, dksA, dpiA, dpiB, dsdA, dsdX, ebgA, ebgC, efpL, elfA, entA, entB, entC, entD, entE, entF, entH, epd, exuR, exuT, fadD, fadH, fadL, fbaA, feaB, feaR, fecA, fecB, fecC, fecD, fecE, fepA, fiu, fixA, fixB, fixC, fixX, flhC, flhD, focA, focB, frlA, frlB, frlC, frlD, frlR, fucA, fucI, fucK, fucO, fucP, fucR, fucU, fumA, fumB, fumC, fur, gabD, gabP, gabT, gadA, gadB, gadC, gadE, gadF, gadX, galP, galS, gapA, gatA, gatB, gatC, gatD, gatY, gatZ, gcd, gcvH, gcvP, gcvT, gdhA, glaH, glcC, glgA, glgC, glgP, glgS, glpA, glpB, glpC, glpD, glpE, glpF, glpG, glpK, glpQ, glpR, glpT, glpX, gltA, gltB, gltD, gltF, gntK, gntP, gntT, gntU, gpsA, grcA, grpE, guaA, guaB, gutM, gutQ, gyrA, hflC, hflK, hflX, hfq, hicA, hicB, hlyE, hofB, hofC, hofM, hofN, hofO, hofP, hpt, htpG, hupA, hupB, hyfA, hyfB, hyfC, hyfD, hyfE, hyfF, hyfG, hyfH, hyfI, hyfJ, hyfR, idnD, idnK, idnO, idnR, idnT, ilvB, ilvN, infB, ivbL, kbaZ, lacI, lamB, lgoD, lgoR, lhgD, lsrA, lsrB, lsrC, lsrD, lsrF, lsrG, lsrK, lsrR, lyxK, malE, malF, malG, malH, malK, malM, malS, malT, malX, malY, manX, manY, manZ, marA, marB, marR, mazE, mazF, mcaS, mdh, mdtE, mdtF, melA, melB, melR, metK, metY, mglA, mglB, mglC, mhpA, mhpB, mhpC, mhpD, mhpE, mhpF, mhpR, modA, modB, modC, mokB, mpl, mtlA, mtlD, mtlR, murP, murQ, nadC, nanA, nanC, nanE, nanK, nanM, nanQ, nanS, nanT, narQ, nfuA, nirB, nirC, nirD, nlpE, nmpC, nrdA, nrdB, nupC, nusA, ompA, ompF, ompW, ortT, osmY, oxyR, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaZ, patZ, pdhR, pflB, pgk, plaR, pncB, pnp, ppdD, preA, preT, priB, prpB, prpC, prpD, prpE, prpR, psiE, psuG, psuK, ptsG, purH, putP, puuB, puuC, puuD, puuE, puuR, raiA, raiZ, rbfA, rbsA, rbsB, rbsC, rbsD, rbsK, rbsR, rbsZ, relA, rhaA, rhaB, rhaD, rhaR, rhaS, rhaT, rihA, rimP, rmf, rof, rplI, rplM, rpoE, rpoS, rpsF, rpsI, rpsO, rpsR, rseA, rseB, rseC, rseD, rspA, rspB, sbmC, sdhA, sdhB, sdhC, sdhD, sdhX, secB, serA, serC, sfmA, sfsA, sgbE, sgbH, sgbU, sgcA, sgcB, sgcC, sgcE, sgcQ, sgcR, sgcX, sodA, sodB, sohB, speC, spf, spfP, srlA, srlB, srlD, srlE, srlR, sroD, sucA, sucB, sucC, sucD, tam, tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG, tnaA, tnaB, tnaC, treB, treC, trg, truB, trxA, ubiG, ugpA, ugpB, ugpC, ugpE, ugpQ, uhpT, uhpU, uidA, uidB, uidC, ulaA, ulaB, ulaC, ulaD, ulaE, ulaF, uxaA, uxaB, uxaC, uxuA, uxuB, uxuR, xseA, xylA, xylB, xylE, xylF, xylG, xylH, xylR, xylZ, yaeP, yaeQ, yahN, ybgD, ychH, yehA, yehB, yehC, yehD, yeiW, yfaE, yfcV, ygcW, ygeA, ygeW, yhgH, yiaK, yiaL, yiaM, yiaN, yiaO, yjcH, yjhG, yjhH, yjhI, ykgR, yqeF, yraH, ytfK, zraR, zraS	Dual
CRP-Sxy	1	sxy	Activador
CadC	3	cadA, cadB, cadC	Activador
CaiF	10	caiA, caiB, caiC, caiD, caiE, caiT, fixA, fixB, fixC, fixX	Activador
Cbl	9	ssuA, ssuB, ssuC, ssuD, ssuE, tauA, tauB, tauC, tauD	Activador
CdaR	10	cdaR, garD, garK, garL, garP, garR, gudD, gudP, gudX, rnpB	Activador
CecR	6	cecR, rhlE, ybhF, ybhG, ybhR, ybhS	Dual
ChiX	6	chbC, chiP, chiQ, chiZ, dpiA, dpiB	Represor
CitR	3	citR, ybdM, ybdN	Represor
ComR	1	bhsA	Represor
